test_id,config,faithfulness,kind
9bb3a8fb413510c1,M_vision,1.0,usable
9dd8dc132e20834e,B1,0.7142857142857143,usable
9dd8dc132e20834e,M,1.0,usable
9dd8dc132e20834e,M_vision,1.0,usable
9e44023bc293e53a,B1,0.1111111111111111,usable
9e44023bc293e53a,M,0.4444444444444444,usable
9e44023bc293e53a,M_vision,0.5,usable
9ef0b82909704b45,B1,0.8571428571428571,soft
9ef0b82909704b45,M,0.8571428571428571,soft
9f02f2666ad58ccd,B1,0.875,usable
9f02f2666ad58ccd,M,0.7777777777777778,usable
9f02f2666ad58ccd,M_vision,1.0,usable
a0504e5490eb10e9,B1,0.875,soft
a127a706ace10d2a,B1,0.8181818181818182,usable
a127a706ace10d2a,M,0.9,usable
a127a706ace10d2a,M_vision,1.0,usable
a18dda71df8865ef,B1,1.0,usable
a18dda71df8865ef,M,0.9,usable
a18dda71df8865ef,M_vision,1.0,usable
a4caa31f197d417a,B1,0.8888888888888888,usable
a4caa31f197d417a,M,0.9090909090909091,usable
a4caa31f197d417a,M_vision,0.8888888888888888,usable
a5e6dc1584d225ec,B1,0.7777777777777778,usable
a5e6dc1584d225ec,M,0.7777777777777778,usable
a5e6dc1584d225ec,M_vision,0.5555555555555556,usable
a9e3fec21eb8cffd,B1,0.8333333333333334,usable
a9e3fec21eb8cffd,M,0.875,usable
a9e3fec21eb8cffd,M_vision,0.8571428571428571,usable
b1ea9520f935e34e,B1,0.8888888888888888,usable
b1ea9520f935e34e,M,0.9090909090909091,usable
b1ea9520f935e34e,M_vision,0.875,usable
b4e110e18f6b5b57,B1,0.9166666666666666,usable
b4e110e18f6b5b57,M,0.9230769230769231,usable
b4e110e18f6b5b57,M_vision,0.8666666666666667,usable
b5fff101fef3c712,B1,1.0,usable
b5fff101fef3c712,M,0.7857142857142857,usable
b5fff101fef3c712,M_vision,0.8333333333333334,usable
b6ddf24f05c0091a,B1,0.8181818181818182,usable
b6ddf24f05c0091a,M,1.0,usable
b6ddf24f05c0091a,M_vision,1.0,usable
bb07fa1a1859a7ab,B1,0.6,soft
bb07fa1a1859a7ab,M,0.6,soft
bb07fa1a1859a7ab,M_vision,0.8333333333333334,soft
bbd1b2a0b0fdf371,B1,1.0,usable
bbd1b2a0b0fdf371,M,1.0,usable
bbd1b2a0b0fdf371,M_vision,1.0,usable
bcded98e450023c8,B1,0.875,usable
bcded98e450023c8,M,0.8888888888888888,usable
bcded98e450023c8,M_vision,0.8888888888888888,usable
bd703884ca4466ed,B1,1.0,usable
bd703884ca4466ed,M,0.8333333333333334,usable
bd703884ca4466ed,M_vision,0.8333333333333334,usable
be77f9a34c74d498,B1,1.0,usable
be77f9a34c74d498,M,1.0,usable
be77f9a34c74d498,M_vision,1.0,usable
c22f234627debce1,B1,0.4,soft
c22f234627debce1,M,0.9090909090909091,usable
c22f234627debce1,M_vision,0.8181818181818182,usable
c2e3e4c35a856070,B1,0.9166666666666666,usable
c2e3e4c35a856070,M,1.0,usable
c2e3e4c35a856070,M_vision,0.9166666666666666,usable
c3f75f98e9df9033,B1,0.9,usable
c3f75f98e9df9033,M,0.875,usable
c3f75f98e9df9033,M_vision,1.0,usable
c7762c40cb4266e5,B1,0.8461538461538461,usable
c7762c40cb4266e5,M,0.9285714285714286,usable
c7762c40cb4266e5,M_vision,0.9166666666666666,usable
cf51b562ce4b151e,B1,0.7142857142857143,soft
cf51b562ce4b151e,M,0.8571428571428571,soft
cf51b562ce4b151e,M_vision,0.875,soft
d4daf24782ca1fed,B1,1.0,usable
d4daf24782ca1fed,M,1.0,usable
d4daf24782ca1fed,M_vision,1.0,usable
d5cf26fef420979f,B1,0.9166666666666666,usable
d5cf26fef420979f,M,1.0,usable
d5cf26fef420979f,M_vision,0.8461538461538461,usable
d711699844110c3e,B1,1.0,usable
d711699844110c3e,M,1.0,usable
d711699844110c3e,M_vision,1.0,usable
d839673fc55c2537,B1,0.7777777777777778,usable
d839673fc55c2537,M,0.875,usable
d839673fc55c2537,M_vision,0.7777777777777778,usable
d8ec7ae95a961f82,B1,0.0,usable
d8ec7ae95a961f82,M,1.0,usable
d8ec7ae95a961f82,M_vision,0.7777777777777778,usable
dd22f000fe8f1366,B1,0.6363636363636364,usable
dd22f000fe8f1366,M,0.5,usable
dd22f000fe8f1366,M_vision,0.5,usable
de904b73ea02e0d2,B1,1.0,soft
de904b73ea02e0d2,M,1.0,soft
de904b73ea02e0d2,M_vision,0.7777777777777778,usable
